actor,movie_count
Min Do-yoon,98
Eric Roberts,86
Tom Sizemore,50
Kang Min-woo,44
Bruce Willis,41
Danny Trejo,41
Nicolas Cage,39
Michael Madsen,39
Michael Paré,38
Sang Woo,38
Willem Dafoe,38
Lee Chae-dam,38
Ahn So-hee,35
Frank Grillo,31
Yoo Jung,31
Scott Adkins,31
Samuel L. Jackson,31
Danny Glover,30
Scarlett Johansson,29
Woody Harrelson,29
Liam Neeson,29
Louis Koo,29
James Franco,28
Toni Collette,28
Dermot Mulroney,27
Yuki Kaji,27
Jr.,27
Mark Wahlberg,27
Robert De Niro,26
Anna Kendrick,26
Guy Pearce,25
Ryan Reynolds,25
Chris Hemsworth,25
Sae Bom,25
J.K. Simmons,25
Jo Wan-jin,25
Dave Bautista,24
Dwayne Johnson,24
Yoon Yool,24
Dean Cain,24
Thomas Jane,24
Olga Kurylenko,24
Louis Mandylor,24
Idris Elba,24
Alec Baldwin,24
Tom Hanks,24
John Malkovich,24
Hae Il,23
Matthew Lillard,23
Tomokazu Seki,23
Keanu Reeves,23
Vivica A. Fox,23
Mamoru Miyano,23
Adam Driver,23
Ben Kingsley,23
Kevin Hart,22
Lee Eun-mi,22
Jeff Fahey,22
Antonio Banderas,22
Grégory Gadebois,22
Michael Jai White,22
Dolph Lundgren,22
Morgan Freeman,22
Mark Strong,22
Takahiro Sakurai,22
Grey DeLisle,22
Tim Roth,21
Margot Robbie,21
Zac Efron,21
Koichi Yamadera,21
Colin Farrell,21
C. Thomas Howell,21
Kana Hanazawa,21
Michael Shannon,21
Mel Gibson,21
Maaya Sakamoto,21
Ethan Hawke,21
Elizabeth Banks,21
Nicole Kidman,20
Casper Van Dien,20
Scout Taylor-Compton,20
Nicholas Hoult,20
Lee Soo,20
Mercedes Cabral,20
Alba Rohrwacher,20
Kazuya Nakai,20
Ralph Fiennes,20
Anthony Hopkins,20
Jacki Weaver,20
Matthew McConaughey,20
Felissa Rose,20
Omar Sy,20
Adam Sandler,20
Megumi Hayashibara,20
Chris Diamantopoulos,20
Kappei Yamaguchi,20
Si Woo,20
Sam Worthington,20
Joey King,20
Seung Ha,19
Bradley Cooper,19
