tmdb_id,title,original_title,overview,tagline,release_date,release_year,release_month,original_language,spoken_languages,genres,runtime_minutes,popularity,vote_average,vote_count,adult,cast,director,production_countries,collection_name,retrieval_month
112136,Buzzkill,Buzzkill,"Failed writer Ray Wyatt is ready to take his own life when a notorious serial murderer steals his latest movie script and begins publicizing it. Revived by the sudden deluge of celebrity, Ray starts tracking the killer to recover the manuscript.",,2012-01-20,2012,1,en,en,Comedy,90,2.5566,3.0,10,False,"Daniel Raymont,Krysten Ritter,Darrell Hammond,Reiko Aylesworth,Mike Starr",Steven Kampmann,US,,2012-01-01
1295881,Keller,Keller,"In Keller, on his way to the underground garage Dominik Belko gets lost in a maze-like basement where he is pounced on by sex-starved security guard Lucio Saints. Lucio gets his beefy ass rimmed by Dominik and then rams his rod deep into Dominik's throat and asshole. Dominik's cock quivers with lust until he shoots his load in a wide arc.",,2012-01-01,2012,1,en,en,,82,4.178,0.0,0,True,"Brodie,Dominik Belko,Felix Barca,Jordan Fox,Kennedy Carter",Jörg Andreas,DE,,2012-01-01
1263628,Nuclear Aftershocks,Nuclear Aftershocks,"It’s been almost a year since a devastating earthquake and tsunami crippled Japan’s Fukushima Daiichi nuclear complex, leaving the country’s once popular energy program in shambles. In response, Germany decided to abandon nuclear energy entirely. Should the U.S. follow suit? FRONTLINE correspondent Miles O’Brien examines the implications of the Fukushima accident for U.S. nuclear safety, and asks how this disaster will affect the future of nuclear energy around the world. In particular, he visits one emerging battleground: The controversial relicensing of the Indian Point nuclear plant, located only 38 miles from Manhattan. What lessons can be learned from the disaster in Japan?",,2012-01-17,2012,1,en,,Documentary,54,1.9847,10.0,1,False,,Jon Palfreman,US,,2012-01-01
696335,The Fool,The Fool,"Officer Thurmon Bell calls in a fake 911 report so that his ex-girlfriend (also a police officer) will show up, and he can win her back. Armed with flowers and a romantic song, he awaits her arrival eagerly. However, two male officers show up instead, and his plan soon falls to pieces; Thurmon must deal with the consequences of his love.",,2012-01-01,2012,1,en,,,10,3.5733,0.0,0,False,"Marcin Paluch,Peter R. Thewes,Matthew Watson,Liz Williamson",Alex Fofonoff,,,2012-01-01
455699,Malice: Origin,Malice: Origin,"MALICE concerns the Turner family's supernatural adventures in their late Grandma's home. It's up to teens Alice and Abbey to solve mysteries and survive dangers emanating from the old home. And when people start disappearing, Alice--the sixteen year-old with an active imagination--must go down the ""rabbit hole"" and rescue them all.","At the Turner house, the norm isn't the norm.",2012-01-12,2012,1,en,en,,70,2.0154,6.7,3,False,"Mark Hyde,Brittany Martz,Leanna Chamish,Brian St. August,Christian Gehring",Philip J. Cook,,Malice Collection,2012-01-01
165398,Hinsehäxan,Hinsehäxan,"About Lillemor Östlin in the 60s and 70s. Her downfall from the glamorous Stockholm nightlife to drug addiction, crime and prostitution.",,2012-01-09,2012,1,sv,sv,Drama,180,2.9565,7.0,1,False,"Vera Vitali,Göran Ragnerstam,Olga Niemandius,Vera Niemandius,Erik Johansson",Molly Hartleb,SE,,2012-01-01
740887,Pyramid,Pyramidi,"Young man loses his job as a recruiter at the network marketing hoax. Being forced to leave his employers quarters he ends up in the streets and bumps into a young girl, an outcast who has recently lost her mother. He moves in her shabby flat – just to get through the worst, with no romantic intentions. A fatal mistake, involving a middle-class suburbia, a time bank system and a battered couple change plans.",,2012-01-01,2012,1,fi,fi,Drama,30,2.5725,5.0,1,False,"Martti Kaartinen,Sinna Virtanen,Heikki Nyyssönen",Mikko Myllylahti,FI,,2012-01-01
377880,100% Love,100% Love,"Rahul, who hails from a middle-class family, comes across Anuradha, immediately falls in love with her and travels to Australia. However, his father dies and he soon learns that she is getting married to his friend.",,2012-01-20,2012,1,bn,bn,"Family,Romance,Drama,Comedy",166,3.4951,5.286,7,False,"Jeet,Koel Mallick,Supriyo Dutta,Biswajit Chakraborty,Biswanath Basu",Ravi Kinagi,IN,,2012-01-01
180759,Nice Guy,Nice Guy,"An unemployed stay at home dad begins venturing out at night. Befriended by a group of petty criminals and strippers, he begins to feel alive. But when he is implicated in a murder, he finds himself indebted to a psychotic gangster and is drawn into a world of violence that threatens his life and his family's safety.",,2012-01-06,2012,1,en,,"Drama,Crime",89,2.2809,0.0,0,False,"Cavan Clerkin,Abigail Blackmore,Kiko-Ray Clerkin,Doug Allen,Martin Askew",Pascal Bergamin,GB,,2012-01-01
554523,Broken Glass,Broken Glass,A young boy being bullied at school and with an abusive father at home encounters a mysterious creature when playing alone in the woods that will soon change his life forever.,Help comes in the most unlikely of forms,2012-01-01,2012,1,en,en,"Drama,Fantasy",18,2.9903,0.0,0,False,"Rachel Roberts,Rhys Jennings,Fiona Sutherland,Nick Blake",Chaz Harris,NZ,,2012-01-01
